	0
 0.9306201  0.93388116 0.9316703  0.933597   0.93604034 0.93526536
 0.93550014 0.9375758  0.93490976 0.9352946  0.93728185 0.93729925
 0.93877196 0.938879   0.9401231  0.94072723 0.9390255  0.93982625
 0.93977034 0.937479   0.94193757 0.9418278  0.9397447  0.9427026
 0.9413021  0.94320583]"
val_loss	"[0.07090105 0.0606989  0.04494202 0.05562544 0.04501703 0.04519385
 0.04685722 0.04091064 0.04453173 0.04024558 0.04699779 0.04345586
 0.04518957 0.04788699 0.04611338 0.04530887 0.04156114 0.04801454
 0.04196175 0.04183486 0.04047567 0.04406751 0.04505493 0.04252414
 0.03909253 0.04033004 0.04982533 0.03974354 0.04158871 0.04480697
 0.04583424 0.04391434 0.04867822 0.0403345  0.04167474 0.04226596
 0.04173139 0.04539452 0.04248815 0.04328111 0.04323508 0.04378225
 0.04739802 0.04423336 0.04036564 0.04089344 0.04975694 0.03957275
 0.04373779 0.04251707]"
val_binary_crossentropy	"[0.06028938 0.04841742 0.03212411 0.04273746 0.0320433  0.03171427
 0.0331253  0.0270077  0.03052172 0.02617524 0.0326981  0.02902058
 0.03050994 0.03308876 0.03134956 0.03025885 0.0264713  0.03284403
 0.02669936 0.02654037 0.0252131  0.02900194 0.02990079 0.0272372
 0.02393112 0.02520622 0.0346241  0.02438112 0.02634897 0.02950622
 0.03055582 0.02870882 0.03329425 0.02510812 0.02640267 0.02700797
 0.02656487 0.03005875 0.02727995 0.02788619 0.0279061  0.02843887
 0.03212557 0.02890106 0.02505155 0.02561147 0.03443787 0.02407788
 0.0283224  0.02714864]"
val_auc	"[0.972644   0.9804452  0.98527867 0.9861489  0.9849485  0.9865191
 0.9839987  0.9867165  0.98580873 0.9879462  0.9870349  0.9839479
 0.9866265  0.985959   0.9854526  0.9881417  0.9855974  0.9812243
 0.98350024 0.98890203 0.9887339  0.98312205 0.98653245 0.98543113
 0.98998195 0.98359716 0.9804635  0.98695624 0.9865087  0.98340577
 0.9788576  0.9844031  0.9801981  0.98658425 0.9843809  0.9874678
 0.98633283 0.98586524 0.98649573 0.98700255 0.983477   0.9857459
 0.98347956 0.98443806 0.9891923  0.98545146 0.977813   0.990162
 0.98689204 0.9829178 ]"
val_auc_1	"[0.87079155 0.8998075  0.91702926 0.9201969  0.922353   0.92322373
 0.91491127 0.9262603  0.9233786  0.93147945 0.92753303 0.9267925
 0.92264533 0.9218248  0.9293557  0.9239111  0.92462677 0.91895735
 0.9235034  0.9259697  0.9266406  0.91957283 0.92484355 0.928848
 0.92827475 0.9254346  0.9183967  0.9281641  0.9253807  0.92021215
 0.91789085 0.9229906  0.92047286 0.9294859  0.92280227 0.928109
 0.93031186 0.9235129  0.926633   0.92759323 0.92237836 0.9233599
 0.9207938  0.9251018  0.9269636  0.92256427 0.9130378  0.92704356
 0.9258609  0.91828513]"
auc_test	0.9924752327395843
auprc_test	0.9425095976001318
fpr_test	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.55239293e-06
 6.55239293e-06 1.31047859e-05 1.31047859e-05 1.31047859e-05
 1.31047859e-05 1.96571788e-05 1.96571788e-05 1.96571788e-05
 1.96571788e-05 1.96571788e-05 1.96571788e-05 1.96571788e-05
 1.96571788e-05 1.96571788e-05 1.96571788e-05 1.96571788e-05
 1.96571788e-05 1.96571788e-05 1.96571788e-05 2.62095717e-05
 2.62095717e-05 3.27619647e-05 3.27619647e-05 3.93143576e-05
 3.93143576e-05 4.58667505e-05 4.58667505e-05 5.24191435e-05
 5.24191435e-05 5.89715364e-05 5.89715364e-05 6.55239293e-05
 6.55239293e-05 7.20763223e-05 7.20763223e-05 7.86287152e-05
 7.86287152e-05 8.51811081e-05 8.51811081e-05 9.17335011e-05
 9.17335011e-05 9.82858940e-05 9.82858940e-05 1.04838287e-04
 1.04838287e-04 1.11390680e-04 1.11390680e-04 1.17943073e-04
 1.17943073e-04 1.24495466e-04 1.24495466e-04 1.31047859e-04
 1.31047859e-04 1.31047859e-04 1.31047859e-04 1.37600252e-04
 1.37600252e-04 1.37600252e-04 1.37600252e-04 1.44152645e-04
 1.44152645e-04 1.50705037e-04 1.50705037e-04 1.57257430e-04
 1.57257430e-04 1.57257430e-04 1.57257430e-04 1.57257430e-04
 1.57257430e-04 1.63809823e-04 1.63809823e-04 1.63809823e-04
 1.63809823e-04 1.70362216e-04 1.70362216e-04 1.76914609e-04
 1.76914609e-04 1.83467002e-04 1.83467002e-04 1.83467002e-04
 1.83467002e-04 1.90019395e-04 1.90019395e-04 1.96571788e-04
 1.96571788e-04 2.03124181e-04 2.03124181e-04 2.03124181e-04
 2.03124181e-04 2.09676574e-04 2.09676574e-04 2.09676574e-04
 2.22781360e-04 2.22781360e-04 2.29333753e-04 2.29333753e-04
 2.35886146e-04 2.35886146e-04 2.42438539e-04 2.42438539e-04
 2.48990931e-04 2.48990931e-04 2.55543324e-04 2.55543324e-04
 2.62095717e-04 2.62095717e-04 2.68648110e-04 2.68648110e-04
 2.75200503e-04 2.75200503e-04 2.81752896e-04 2.81752896e-04
 2.88305289e-04 2.88305289e-04 3.01410075e-04 3.01410075e-04
 3.07962468e-04 3.07962468e-04 3.14514861e-04 3.14514861e-04
 3.21067254e-04 3.21067254e-04 3.27619647e-04 3.27619647e-04
 3.34172040e-04 3.34172040e-04 3.40724433e-04 3.40724433e-04
 3.47276825e-04 3.47276825e-04 3.60381611e-04 3.60381611e-04
 3.66934004e-04 3.66934004e-04 3.80038790e-04 3.80038790e-04
 3.86591183e-04 3.86591183e-04 3.93143576e-04 3.93143576e-04
 3.99695969e-04 3.99695969e-04 4.06248362e-04 4.06248362e-04
 4.12800755e-04 4.12800755e-04 4.19353148e-04 4.19353148e-04
 4.25905541e-04 4.25905541e-04 4.32457934e-04 4.32457934e-04
 4.39010327e-04 4.39010327e-04 4.45562720e-04 4.45562720e-04
 4.58667505e-04 4.58667505e-04 4.65219898e-04 4.65219898e-04
 4.71772291e-04 4.71772291e-04 4.78324684e-04 4.78324684e-04
 4.84877077e-04 4.84877077e-04 4.91429470e-04 4.91429470e-04
 4.97981863e-04 4.97981863e-04 5.04534256e-04 5.04534256e-04
 5.11086649e-04 5.11086649e-04 5.17639042e-04 5.17639042e-04
 5.24191435e-04 5.24191435e-04 5.37296221e-04 5.37296221e-04
 5.43848614e-04 5.43848614e-04 5.50401006e-04 5.50401006e-04
 5.56953399e-04 5.56953399e-04 5.63505792e-04 5.63505792e-04
 5.70058185e-04 5.70058185e-04 5.76610578e-04 5.76610578e-04
 5.83162971e-04 5.83162971e-04 5.89715364e-04 5.89715364e-04
 5.96267757e-04 5.96267757e-04 6.02820150e-04 6.02820150e-04
 6.09372543e-04 6.09372543e-04 6.15924936e-04 6.15924936e-04
 6.22477329e-04 6.22477329e-04 6.29029722e-04 6.29029722e-04
 6.35582115e-04 6.35582115e-04 6.42134508e-04 6.42134508e-04
 6.48686900e-04 6.48686900e-04 6.55239293e-04 6.55239293e-04
 6.61791686e-04 6.61791686e-04 6.68344079e-04 6.68344079e-04
 6.74896472e-04 6.74896472e-04 6.81448865e-04 6.81448865e-04
 6.88001258e-04 6.88001258e-04 6.94553651e-04 6.94553651e-04
 7.01106044e-04 7.01106044e-04 7.07658437e-04 7.07658437e-04
 7.14210830e-04 7.14210830e-04 7.20763223e-04 7.20763223e-04
 7.27315616e-04 7.27315616e-04 7.40420402e-04 7.40420402e-04
 7.40420402e-04 7.40420402e-04 7.40420402e-04 7.40420402e-04
 7.46972794e-04 7.46972794e-04 7.46972794e-04 7.53525187e-04
 7.53525187e-04 7.66629973e-04 7.66629973e-04 7.73182366e-04
 7.73182366e-04 7.79734759e-04 7.79734759e-04 7.79734759e-04
 7.79734759e-04 7.92839545e-04 7.92839545e-04 7.99391938e-04
 7.99391938e-04 8.05944331e-04 8.05944331e-04 8.12496724e-04
 8.12496724e-04 8.19049117e-04 8.19049117e-04 8.25601510e-04
 8.25601510e-04 8.32153903e-04 8.32153903e-04 8.38706296e-04
 8.38706296e-04 8.58363474e-04 8.58363474e-04 8.64915867e-04
 8.64915867e-04 8.71468260e-04 8.71468260e-04 8.78020653e-04
 8.78020653e-04 8.84573046e-04 8.84573046e-04 8.97677832e-04
 8.97677832e-04 9.10782618e-04 9.10782618e-04 9.30439797e-04
 9.30439797e-04 9.36992190e-04 9.36992190e-04 9.43544582e-04
 9.43544582e-04 9.50096975e-04 9.50096975e-04 9.56649368e-04
 9.56649368e-04 9.63201761e-04 9.63201761e-04 9.76306547e-04
 9.76306547e-04 9.89411333e-04 9.89411333e-04 9.95963726e-04
 9.95963726e-04 1.00251612e-03 1.00251612e-03 1.01562090e-03
 1.02217330e-03 1.02217330e-03 1.03527808e-03 1.03527808e-03
 1.04183048e-03 1.04183048e-03 1.06148766e-03 1.06148766e-03
 1.07459244e-03 1.07459244e-03 1.08114483e-03 1.08114483e-03
 1.08769723e-03 1.08769723e-03 1.09424962e-03 1.09424962e-03
 1.10080201e-03 1.10080201e-03 1.10735441e-03 1.10735441e-03
 1.11390680e-03 1.11390680e-03 1.12701158e-03 1.12701158e-03
 1.13356398e-03 1.13356398e-03 1.14011637e-03 1.14011637e-03
 1.14666876e-03 1.14666876e-03 1.15977355e-03 1.15977355e-03
 1.17943073e-03 1.17943073e-03 1.18598312e-03 1.18598312e-03
 1.19253551e-03 1.19253551e-03 1.20564030e-03 1.20564030e-03
 1.21219269e-03 1.21219269e-03 1.22529748e-03 1.22529748e-03
 1.23184987e-03 1.23184987e-03 1.23184987e-03 1.23840226e-03
 1.23840226e-03 1.24495466e-03 1.24495466e-03 1.25805944e-03
 1.25805944e-03 1.28426902e-03 1.28426902e-03 1.29082141e-03
 1.29082141e-03 1.29737380e-03 1.29737380e-03 1.30392619e-03
 1.30392619e-03 1.31047859e-03 1.31047859e-03 1.32358337e-03
 1.32358337e-03 1.33013577e-03 1.33013577e-03 1.34324055e-03
 1.34324055e-03 1.34979294e-03 1.34979294e-03 1.35634534e-03
 1.35634534e-03 1.37600252e-03 1.37600252e-03 1.38255491e-03
 1.38255491e-03 1.39565969e-03 1.39565969e-03 1.40221209e-03
 1.40221209e-03 1.40876448e-03 1.40876448e-03 1.41531687e-03
 1.41531687e-03 1.42186927e-03 1.42186927e-03 1.42842166e-03
 1.42842166e-03 1.44152645e-03 1.44152645e-03 1.44807884e-03
 1.44807884e-03 1.48084080e-03 1.48084080e-03 1.49394559e-03
 1.49394559e-03 1.50049798e-03 1.50049798e-03 1.50705037e-03
 1.50705037e-03 1.51360277e-03 1.51360277e-03 1.52015516e-03
 1.52015516e-03 1.52670755e-03 1.52670755e-03 1.53325995e-03
 1.53325995e-03 1.53981234e-03 1.53981234e-03 1.55291713e-03
 1.55291713e-03 1.55946952e-03 1.55946952e-03 1.56602191e-03
 1.56602191e-03 1.57257430e-03 1.57257430e-03 1.57912670e-03
 1.57912670e-03 1.58567909e-03 1.58567909e-03 1.59878388e-03
 1.61188866e-03 1.61188866e-03 1.61844105e-03 1.61844105e-03
 1.62499345e-03 1.63809823e-03 1.63809823e-03 1.64465063e-03
 1.64465063e-03 1.65120302e-03 1.65120302e-03 1.65775541e-03
 1.65775541e-03 1.67086020e-03 1.67086020e-03 1.68396498e-03
 1.68396498e-03 1.69051738e-03 1.69051738e-03 1.70362216e-03
 1.70362216e-03 1.71672695e-03 1.71672695e-03 1.72327934e-03
 1.72327934e-03 1.72983173e-03 1.72983173e-03 1.74293652e-03
 1.74293652e-03 1.76259370e-03 1.76259370e-03 1.76914609e-03
 1.76914609e-03 1.79535566e-03 1.79535566e-03 1.80190806e-03
 1.80190806e-03 1.80846045e-03 1.80846045e-03 1.81501284e-03
 1.81501284e-03 1.82156524e-03 1.82156524e-03 1.83467002e-03
 1.83467002e-03 1.85432720e-03 1.85432720e-03 1.86087959e-03
 1.86087959e-03 1.87398438e-03 1.87398438e-03 1.88708916e-03
 1.88708916e-03 1.89364156e-03 1.89364156e-03 1.90019395e-03
 1.90019395e-03 1.90674634e-03 1.90674634e-03 1.91985113e-03
 1.91985113e-03 1.92640352e-03 1.92640352e-03 1.93295592e-03
 1.93295592e-03 1.93950831e-03 1.93950831e-03 1.94606070e-03
 1.94606070e-03 1.95261309e-03 1.95261309e-03 1.95916549e-03
 1.95916549e-03 1.96571788e-03 1.96571788e-03 1.97227027e-03
 1.97227027e-03 1.98537506e-03 1.98537506e-03 1.99192745e-03
 1.99192745e-03 2.00503224e-03 2.00503224e-03 2.01158463e-03
 2.01158463e-03 2.02468942e-03 2.02468942e-03 2.03124181e-03
 2.03124181e-03 2.03779420e-03 2.03779420e-03 2.04434660e-03
 2.04434660e-03 2.05745138e-03 2.05745138e-03 2.07055617e-03
 2.07055617e-03 2.07710856e-03 2.07710856e-03 2.09676574e-03
 2.09676574e-03 2.10331813e-03 2.10331813e-03 2.11642292e-03
 2.11642292e-03 2.12952770e-03 2.12952770e-03 2.14263249e-03
 2.14263249e-03 2.15573728e-03 2.15573728e-03 2.16228967e-03
 2.16228967e-03 2.18849924e-03 2.18849924e-03 2.19505163e-03
 2.19505163e-03 2.20160403e-03 2.20160403e-03 2.20815642e-03
 2.20815642e-03 2.21470881e-03 2.21470881e-03 2.22781360e-03
 2.22781360e-03 2.23436599e-03 2.23436599e-03 2.24091838e-03
 2.24091838e-03 2.26057556e-03 2.26057556e-03 2.30644231e-03
 2.30644231e-03 2.31299471e-03 2.31299471e-03 2.31954710e-03
 2.31954710e-03 2.32609949e-03 2.32609949e-03 2.33265188e-03
 2.34575667e-03 2.34575667e-03 2.35886146e-03 2.35886146e-03
 2.36541385e-03 2.36541385e-03 2.37851864e-03 2.37851864e-03
 2.38507103e-03 2.38507103e-03 2.39817581e-03 2.39817581e-03
 2.40472821e-03 2.40472821e-03 2.41128060e-03 2.41128060e-03
 2.41783299e-03 2.41783299e-03 2.42438539e-03 2.42438539e-03
 2.45059496e-03 2.45059496e-03 2.45714735e-03 2.45714735e-03
 2.46369974e-03 2.46369974e-03 2.47025214e-03 2.47025214e-03
 2.47680453e-03 2.47680453e-03 2.48990931e-03 2.48990931e-03
 2.49646171e-03 2.49646171e-03 2.50301410e-03 2.50301410e-03
 2.50956649e-03 2.50956649e-03 2.51611889e-03 2.51611889e-03
 2.53577607e-03 2.53577607e-03 2.54232846e-03 2.54232846e-03
 2.54888085e-03 2.54888085e-03 2.56198564e-03 2.56198564e-03
 2.56853803e-03 2.56853803e-03 2.57509042e-03 2.57509042e-03
 2.58164282e-03 2.58164282e-03 2.58819521e-03 2.58819521e-03
 2.59474760e-03 2.59474760e-03 2.60129999e-03 2.60129999e-03
 2.61440478e-03 2.61440478e-03 2.63406196e-03 2.63406196e-03
 2.64061435e-03 2.64061435e-03 2.64716675e-03 2.64716675e-03
 2.65371914e-03 2.65371914e-03 2.66682392e-03 2.67337632e-03
 2.67337632e-03 2.69303350e-03 2.69303350e-03 2.69958589e-03
 2.69958589e-03 2.70613828e-03 2.70613828e-03 2.71924307e-03
 2.71924307e-03 2.72579546e-03 2.72579546e-03 2.73234785e-03
 2.73234785e-03 2.74545264e-03 2.74545264e-03 2.75200503e-03
 2.75200503e-03 2.76510982e-03 2.76510982e-03 2.77166221e-03
 2.77166221e-03 2.80442418e-03 2.80442418e-03 2.81752896e-03
 2.83718614e-03 2.83718614e-03 2.84373853e-03 2.84373853e-03
 2.85029093e-03 2.85029093e-03 2.86994811e-03 2.86994811e-03
 2.87650050e-03 2.87650050e-03 2.88305289e-03 2.88305289e-03
 2.90271007e-03 2.90271007e-03 2.91581486e-03 2.91581486e-03
 2.94202443e-03 2.94202443e-03 2.95512921e-03 2.95512921e-03
 2.96168161e-03 2.96168161e-03 2.96823400e-03 2.96823400e-03
 2.98133878e-03 2.98133878e-03 2.99444357e-03 2.99444357e-03
 3.00099596e-03 3.00099596e-03 3.00754836e-03 3.00754836e-03
 3.02065314e-03 3.02065314e-03 3.02720554e-03 3.02720554e-03
 3.04686271e-03 3.04686271e-03 3.07307229e-03 3.07307229e-03
 3.08617707e-03 3.08617707e-03 3.10583425e-03 3.10583425e-03
 3.11238664e-03 3.11238664e-03 3.11893904e-03 3.11893904e-03
 3.13204382e-03 3.13204382e-03 3.14514861e-03 3.14514861e-03
 3.15825339e-03 3.15825339e-03 3.16480579e-03 3.16480579e-03
 3.17135818e-03 3.17135818e-03 3.19101536e-03 3.19101536e-03
 3.25653929e-03 3.25653929e-03 3.28930125e-03 3.28930125e-03
 3.30895843e-03 3.30895843e-03 3.31551082e-03 3.31551082e-03
 3.32861561e-03 3.32861561e-03 3.35482518e-03 3.35482518e-03
 3.37448236e-03 3.37448236e-03 3.39413954e-03 3.39413954e-03
 3.40724433e-03 3.40724433e-03 3.41379672e-03 3.41379672e-03
 3.42034911e-03 3.42034911e-03 3.42690150e-03 3.42690150e-03
 3.43345390e-03 3.43345390e-03 3.44000629e-03 3.44000629e-03
 3.44655868e-03 3.44655868e-03 3.46621586e-03 3.46621586e-03
 3.47276825e-03 3.47276825e-03 3.48587304e-03 3.48587304e-03
 3.49242543e-03 3.49242543e-03 3.49897783e-03 3.49897783e-03
 3.51208261e-03 3.53829218e-03 3.53829218e-03 3.54484458e-03
 3.54484458e-03 3.55794936e-03 3.55794936e-03 3.57105415e-03
 3.57105415e-03 3.59071133e-03 3.59071133e-03 3.60381611e-03
 3.60381611e-03 3.61036851e-03 3.61036851e-03 3.64968286e-03
 3.64968286e-03 3.65623526e-03 3.65623526e-03 3.66934004e-03
 3.68244483e-03 3.68244483e-03 3.68899722e-03 3.68899722e-03
 3.70210201e-03 3.70210201e-03 3.70865440e-03 3.72175919e-03
 3.75452115e-03 3.76762594e-03 3.76762594e-03 3.77417833e-03
 3.77417833e-03 3.78728312e-03 3.78728312e-03 3.80038790e-03
 3.80038790e-03 3.82004508e-03 3.82004508e-03 3.82659747e-03
 3.82659747e-03 3.83970226e-03 3.83970226e-03 3.85280705e-03
 3.86591183e-03 3.87246422e-03 3.87246422e-03 3.89867380e-03
 3.89867380e-03 3.91177858e-03 3.91177858e-03 3.91833097e-03
 3.91833097e-03 3.92488337e-03 3.92488337e-03 3.93143576e-03
 3.93143576e-03 3.94454055e-03 3.94454055e-03 3.95764533e-03
 3.95764533e-03 3.97730251e-03 3.97730251e-03 3.99040730e-03
 3.99040730e-03 4.00351208e-03 4.00351208e-03 4.01661687e-03
 4.01661687e-03 4.03627405e-03 4.03627405e-03 4.04937883e-03
 4.04937883e-03 4.05593123e-03 4.05593123e-03 4.07558840e-03
 4.07558840e-03 4.08869319e-03 4.08869319e-03 4.11490276e-03
 4.11490276e-03 4.12800755e-03 4.12800755e-03 4.16076951e-03
 4.16076951e-03 4.17387430e-03 4.17387430e-03 4.18042669e-03
 4.18042669e-03 4.18697908e-03 4.18697908e-03 4.20008387e-03
 4.20008387e-03 4.21318866e-03 4.21318866e-03 4.21974105e-03
 4.21974105e-03 4.24595062e-03 4.24595062e-03 4.26560780e-03
 4.26560780e-03 4.28526498e-03 4.28526498e-03 4.29181737e-03
 4.29181737e-03 4.33113173e-03 4.33113173e-03 4.33768412e-03
 4.33768412e-03 4.34423652e-03 4.34423652e-03 4.38355087e-03
 4.39665566e-03 4.39665566e-03 4.42286523e-03 4.42286523e-03
 4.42941762e-03 4.42941762e-03 4.47528437e-03 4.47528437e-03
 4.48183677e-03 4.48183677e-03 4.49494155e-03 4.50804634e-03
 4.51459873e-03 4.51459873e-03 4.54736070e-03 4.54736070e-03
 4.57357027e-03 4.57357027e-03 4.66530377e-03 4.66530377e-03
 4.67185616e-03 4.67185616e-03 4.69806573e-03 4.69806573e-03
 4.71772291e-03 4.71772291e-03 4.72427531e-03 4.72427531e-03
 4.73738009e-03 4.73738009e-03 4.74393248e-03 4.74393248e-03
 4.78324684e-03 4.78324684e-03 4.81600881e-03 4.81600881e-03
 4.82256120e-03 4.82256120e-03 4.83566599e-03 4.83566599e-03
 4.84877077e-03 4.84877077e-03 4.86187556e-03 4.86187556e-03
 4.86842795e-03 4.86842795e-03 4.90118991e-03 4.90118991e-03
 4.92084709e-03 4.92084709e-03 4.92084709e-03 4.92084709e-03
 4.95360906e-03 4.95360906e-03 4.96016145e-03 4.96016145e-03
 4.96671384e-03 4.96671384e-03 4.99292342e-03 4.99292342e-03
 5.01913299e-03 5.01913299e-03 5.03223777e-03 5.03223777e-03
 5.03879017e-03 5.03879017e-03 5.09120931e-03 5.09120931e-03
 5.10431410e-03 5.10431410e-03 5.11086649e-03 5.11086649e-03
 5.13707606e-03 5.13707606e-03 5.18949520e-03 5.20259999e-03
 5.20259999e-03 5.20915238e-03 5.20915238e-03 5.22880956e-03
 5.22880956e-03 5.23536195e-03 5.23536195e-03 5.24846674e-03
 5.24846674e-03 5.30743828e-03 5.30743828e-03 5.31399067e-03
 5.31399067e-03 5.33364785e-03 5.33364785e-03 5.34675263e-03
 5.34675263e-03 5.35330503e-03 5.35330503e-03 5.41227656e-03
 5.41227656e-03 5.42538135e-03 5.42538135e-03 5.45159092e-03
 5.45159092e-03 5.46469571e-03 5.46469571e-03 5.47780049e-03
 5.47780049e-03 5.51711485e-03 5.51711485e-03 5.55642921e-03
 5.55642921e-03 5.56298160e-03 5.56298160e-03 5.60229596e-03
 5.61540074e-03 5.61540074e-03 5.66126749e-03 5.66126749e-03
 5.70713425e-03 5.72023903e-03 5.74644860e-03 5.74644860e-03
 5.75300100e-03 5.75300100e-03 5.76610578e-03 5.76610578e-03
 5.77921057e-03 5.77921057e-03 5.79231535e-03 5.79231535e-03
 5.81852493e-03 5.81852493e-03 5.83162971e-03 5.84473450e-03
 5.85128689e-03 5.85128689e-03 5.89715364e-03 5.89715364e-03
 5.91681082e-03 5.91681082e-03 5.95612518e-03 5.95612518e-03
 5.98233475e-03 5.98233475e-03 6.00199193e-03 6.00199193e-03
 6.04130629e-03 6.04130629e-03 6.10027782e-03 6.10027782e-03
 6.15924936e-03 6.15924936e-03 6.16580175e-03 6.16580175e-03
 6.18545893e-03 6.18545893e-03 6.26408764e-03 6.26408764e-03
 6.27719243e-03 6.27719243e-03 6.28374482e-03 6.28374482e-03
 6.29684961e-03 6.29684961e-03 6.32305918e-03 6.32305918e-03
 6.34926875e-03 6.34926875e-03 6.37547832e-03 6.37547832e-03
 6.38203072e-03 6.38203072e-03 6.38858311e-03 6.38858311e-03
 6.40168790e-03 6.40168790e-03 6.43444986e-03 6.43444986e-03
 6.46065943e-03 6.46065943e-03 6.48686900e-03 6.48686900e-03
 6.57860251e-03 6.57860251e-03 6.58515490e-03 6.58515490e-03
 6.59170729e-03 6.59170729e-03 6.68344079e-03 6.68344079e-03
 6.68999319e-03 6.68999319e-03 6.70309797e-03 6.70309797e-03
 6.72275515e-03 6.72275515e-03 6.73585994e-03 6.73585994e-03
 6.78172669e-03 6.78172669e-03 6.78827908e-03 6.78827908e-03
 6.83414583e-03 6.84725062e-03 6.88001258e-03 6.88001258e-03
 6.89311737e-03 6.89311737e-03 6.89966976e-03 6.89966976e-03
 6.93898412e-03 6.93898412e-03 6.96519369e-03 6.96519369e-03
 7.00450805e-03 7.00450805e-03 7.04382240e-03 7.04382240e-03
 7.12900351e-03 7.12900351e-03 7.15521308e-03 7.15521308e-03
 7.18142266e-03 7.18142266e-03 7.19452744e-03 7.19452744e-03
 7.22073701e-03 7.22073701e-03 7.27970855e-03 7.29281334e-03
 7.33868009e-03 7.35178487e-03 7.35178487e-03 7.38454684e-03
 7.38454684e-03 7.39109923e-03 7.39109923e-03 7.41075641e-03
 7.41075641e-03 7.42386119e-03 7.42386119e-03 7.43696598e-03
 7.43696598e-03 7.45007077e-03 7.45007077e-03 7.46317555e-03
 7.46317555e-03 7.48283273e-03 7.48283273e-03 7.50248991e-03
 7.50248991e-03 7.54180427e-03 7.54180427e-03 7.55490905e-03
 7.55490905e-03 7.62043298e-03 7.62043298e-03 7.63353777e-03
 7.63353777e-03 7.65319495e-03 7.65319495e-03 7.69906170e-03
 7.69906170e-03 7.70561409e-03 7.70561409e-03 7.78424281e-03
 7.78424281e-03 7.83666195e-03 7.83666195e-03 7.85631913e-03
 7.85631913e-03 7.86942391e-03 7.86942391e-03 7.87597631e-03
 7.87597631e-03 7.88252870e-03 7.88252870e-03 7.92839545e-03
 7.92839545e-03 8.01357656e-03 8.01357656e-03 8.05944331e-03
 8.05944331e-03 8.07910049e-03 8.07910049e-03 8.13807202e-03
 8.13807202e-03 8.19704356e-03 8.19704356e-03 8.21670074e-03
